atom,orbital,Z,epsilon,npts,r_core_min,prob_rel_cut,alpha,fa_max_abs,fa_r_at_max,fa_tail_abs,fa_r_tail,fa_rms_P,fa_mean_P,fa_p99_abs,fa_Zeff_tail_err,cache_present,cache_max_abs,cache_r_at_max,cache_tail_abs,cache_r_tail,cache_rms_P,cache_mean_P,cache_p99_abs,cache_Zeff_tail_err
C,2s,6,-0.7056273,138,0.5,1e-06,0.6666666666666666,1.0950104834709604,0.5068710244526289,0.031457828612272754,8.706894596202622,0.3458090850072821,0.302615619406523,1.0248300109428081,0.0003594540274542979,1,0.6877499070555597,0.5068710244526289,0.031482967742080925,8.706894596202622,0.2245105259877472,0.20456252622141843,0.6313226184241486,0.0
C,2p,6,-0.4333405,149,0.5,1e-06,0.6666666666666666,0.8061679284430845,0.5068710244526289,0.0017357944776457135,10.940095842410463,0.292611486082659,0.2428271074956248,0.7792761888597854,0.0003594540274542979,1,0.36414842454029905,0.5068710244526289,0.001915803166937402,10.940095842410463,0.15144562947069276,0.1331482231977183,0.3518593865417614,0.0
N,1s,7,-15.6290601,60,0.5,1e-06,0.6666666666666666,5.916377187122519,1.7248211147014536,5.916377187122519,1.7248211147014536,0.09895774044966267,0.035493427363276125,5.647616191725227,0.00043038581101573214,1,5.893233867943373,1.7248211147014536,5.893233867943373,1.7248211147014536,0.5931599245257123,0.5702872336667967,5.623143927627796,0.0
N,2s,7,-0.9453239,131,0.5,1e-06,0.6666666666666666,0.8546725484794582,0.5068710244526289,0.06000899170712204,7.529442890062976,0.36255877298860917,0.3171569121808812,0.8235537062273701,0.00043038581101573214,1,0.5137520057318206,0.5068710244526289,0.06002971280669189,7.529442890062976,0.2472185355515158,0.22390071099144224,0.49384274745305606,0.0
N,2p,7,-0.5675889,140,0.5,1e-06,0.6666666666666666,0.7317574453342841,0.5068710244526289,0.003293950182697236,9.075947711244547,0.29534536732941885,0.2466558906649862,0.709831907967466,0.00043038581101573214,1,0.3719776244533852,0.5068710244526289,0.00346551737943096,9.075947711244547,0.1668176950011272,0.1451664082735348,0.3630239425187189,0.0
O,1s,8,-20.668657,54,0.5,1e-06,0.6666666666666666,9.10365292457817,1.5228529384611231,9.10365292457817,1.5228529384611231,0.21444984347277965,-0.049952378202154764,8.771054236846023,0.0005022623311443652,1,9.076331770187906,1.5228529384611231,9.076331770187906,1.5228529384611231,0.5566613569488823,0.46893687344380364,8.742356968805947,8.881784197001252e-16
O,2s,8,-1.2443146,124,0.5,1e-06,0.6666666666666666,0.6804853372083066,0.5068710244526289,0.11703944778207809,6.5112204596396035,0.31389269877725673,0.2677261791572208,0.6607588478405776,0.0005022623311443652,1,0.3920077105934219,0.5068710244526289,0.11705484631216734,6.5112204596396035,0.20124347304970278,0.175848025602274,0.3817521288508932,8.881784197001252e-16
O,2p,8,-0.6319062,136,0.5,1e-06,0.6666666666666666,0.7284080742597494,0.5068710244526289,0.004135282312173416,8.352848200685248,0.33689421951988574,0.29261169612210963,0.7084208453876375,0.0005022623311443652,1,0.41653656744789824,0.5068710244526289,0.0043245705790017075,8.352848200685248,0.21296359751276217,0.19118123786657154,0.4082054994071947,8.881784197001252e-16
F,1s,9,-26.38276,48,0.5,1e-06,0.6666666666666666,12.2880471348501,1.3445342548355126,12.2880471348501,1.3445342548355126,0.5068321552832136,-0.28554509977328907,11.913656637796448,0.000575590122956271,1,12.255317118297455,1.3445342548355126,12.255317118297455,1.3445342548355126,0.5469704386214076,0.19755537141489693,11.879493659656223,0.0
F,2s,9,-1.5725347,118,0.5,1e-06,0.6666666666666666,0.5241996721796944,0.5068710244526289,0.19261251276116909,5.7487881644159,0.2422653614620871,0.19397752897103052,0.5087600474833798,0.000575590122956271,1,0.2733195841996636,0.5068710244526289,0.19262752440927144,5.7487881644159,0.13411896789453898,0.10426932067464252,0.26640863191826375,0.0
F,2p,9,-0.7300174,132,0.5,1e-06,0.6666666666666666,0.6847470911177789,0.5068710244526289,0.005870979133785759,7.68735952249371,0.33613008692248114,0.2966574690450157,0.6648282899146203,0.000575590122956271,1,0.4127613935458525,0.5068710244526289,0.006064663882030863,7.68735952249371,0.2175126411390815,0.19707779589957647,0.40317105032429656,0.0
Ne,1s,10,-32.7724425,43,0.5,1e-06,0.6666666666666666,16.21711783024795,1.2119930402526504,16.21711783024795,1.2119930402526504,1.062855975619453,-0.7619723033236331,15.803465701592593,0.0006464451464935905,1,16.180492624965176,1.2119930402526504,16.180492624965176,1.2119930402526504,0.8872166535728039,-0.3231417081270647,15.765414518448907,0.0
Ne,2s,10,-1.9303907,113,0.5,1e-06,0.6666666666666666,0.35838112737918415,0.5068710244526289,0.2750050530833257,5.182085335573137,0.15505028318525435,0.09813080301990375,0.34507157064680855,0.0006464451464935905,1,0.2750200733924504,5.182085335573137,0.2750200733924504,5.182085335573137,0.06538934383036843,0.011152504219640067,0.26356065230305387,0.0
Ne,2p,10,-0.8504095,127,0.5,1e-06,0.6666666666666666,0.6013977461121556,0.5068710244526289,0.00726248817035835,6.929556614622749,0.30351015863076997,0.27070174839118466,0.5817325448532386,0.0006464451464935905,1,0.3613092768827979,0.5068710244526289,0.007487857603571402,6.929556614622749,0.19031815986508707,0.1736586981973031,0.3506437370574107,0.0
Na,1s,11,-40.4785011,38,0.5,1e-06,0.6666666666666666,19.022906625919756,1.0925174456046602,19.022906625919756,1.0925174456046602,1.8397309246293663,-1.464215545835562,18.59741572251624,0.0007180136022189032,1,18.938725896470256,1.0925174456046602,18.938725896470256,1.0925174456046602,1.5671125207983734,-1.0161301761612809,18.5115664294419,0.0
Na,2s,11,-2.7970265,104,0.5,1e-06,0.6666666666666666,0.38552138857697926,4.299078931150038,0.38552138857697926,4.299078931150038,0.08516394966465798,0.023958170738204304,0.34158410928246435,0.0007180136022189032,1,0.3835507180893427,4.299078931150038,0.3835507180893427,4.299078931150038,0.04634319254706088,-0.0005665593557472782,0.33942073294930164,0.0
Na,3s,11,-0.1821026,178,0.5,1e-06,0.6666666666666666,35.85036841275171,1.0265623531126216,0.004336545219804588,19.97272165330396,0.1987795805725088,0.16176924277028787,2.815154037619096,0.0007180136022189032,1,36.44181245645894,1.0265623531126216,0.003968566004848018,19.97272165330396,0.059616648166530055,0.029044526253979158,3.1493498054989226,0.0
Na,2p,11,-1.5181403,116,0.5,1e-06,0.6666666666666666,0.44572234670966626,0.5068710244526289,0.27378883139283217,5.515026551051236,0.23490259823359563,0.2132526366409786,0.42936886626636506,0.0007180136022189032,1,0.3461996076620695,0.5068710244526289,0.27323063774857526,5.515026551051236,0.20063262554296446,0.18820642897192455,0.33585861671473044,0.0
Mg,1s,12,-49.0317363,33,0.5,1e-06,0.6666666666666666,21.200588291665472,0.9848194909615314,21.200588291665472,0.9848194909615314,2.9146620397113185,-2.4642063437084762,20.774488537657902,0.0007901988962810691,1,21.07041988210202,0.9848194909615314,21.07041988210202,0.9848194909615314,2.585335677812635,-2.006532962343643,20.64242012647571,0.0
Mg,2s,12,-3.7677216,96,0.5,1e-06,0.6666666666666666,0.09203268688416322,1.2374124321307347,0.07207373813098572,3.641334922895508,0.0592781900011525,-0.04160648611596251,0.0920127599474108,0.0007901988962810691,1,0.0690199514020211,3.641334922895508,0.0690199514020211,3.641334922895508,0.02720091992913698,-0.007036133263603904,0.06094273950045148,0.0
